FECHA,PROVINCIA TRIBUTARIA,OTROS_NO_INFORMADO,AGRICULTURA_NO_INFORMADO,INDUSTRIA_NO_INFORMADO,CONSTRUCCION_NO_INFORMADO,SERVICIOS_NO_INFORMADO,TOTAL_NO_INFORMADO,OTROS_MUNICIPAL,AGRICULTURA_MUNICIPAL,INDUSTRIA_MUNICIPAL,CONSTRUCCION_MUNICIPAL,SERVICIOS_MUNICIPAL,TOTAL_MUNICIPAL,OTROS_NACIONAL,AGRICULTURA_NACIONAL,INDUSTRIA_NACIONAL,CONSTRUCCION_NACIONAL,SERVICIOS_NACIONAL,TOTAL_NACIONAL,OTROS_PROVINCIAL,AGRICULTURA_PROVINCIAL,INDUSTRIA_PROVINCIAL,CONSTRUCCION_PROVINCIAL,SERVICIOS_PROVINCIAL,TOTAL_PROVINCIAL
1997,"AVILA",           .,           .,           .,           .,           .,           .,         344,         597,         908,        2639,       10722,       15210,           3,          22,           .,           2,         784,         811,           .,          31,           5,          63,         519,         618

1997,"BURGOS",           .,           .,           .,           .,           .,           .,        1174,         710,        2129,        3953,       22732,       30698,           6,          80,           .,           6,        2389,        2481,           2,          41,           3,          97,         652,         795

1997,"LEON",           .,           .,           .,           .,           .,           .,        1330,         694,        2736,        6493,       29506,       40759,           6,          53,           2,           2,        2452,        2515,           1,          81,           5,         334,        1471,        1892

1997,"PALENCIA",           .,           .,           .,           .,           .,           .,         522,         515,         898,        2304,       10875,       15114,           3,          53,           .,           4,        1045,        1105,           1,          48,           1,          78,         366,         494

1997,"SALAMANCA",           .,           .,           .,           .,           .,           .,         987,         502,        2280,        4629,       22192,       30590,           6,          42,           .,           2,        2006,        2056,           .,          78,           2,         214,         953,        1247

1997,"SEGOVIA",           .,           .,           .,           .,           .,           .,         465,        1473,         890,        2406,       10126,       15360,           1,          36,           .,           2,         825,         864,           .,          16,           2,          29,         409,         456

1997,"SORIA",           .,           .,           .,           .,           .,           .,         421,         616,         640,        1429,        6095,        9201,           .,          75,           .,           1,         711,         787,           .,          30,           2,          61,         158,         251

1997,"VALLADOLID",           .,           .,           .,           .,           .,           .,        1281,         836,        2171,        4486,       28290,       37064,          13,          85,           1,          13,        2539,        2651,           1,          47,           3,         122,         926,        1099

1997,"ZAMORA",           .,           .,           .,           .,           .,           .,         448,         313,        1180,        2638,       12596,       17175,           .,          52,           .,           2,        1081,        1135,           .,          81,           1,          84,         539,         705

1997,"TOTAL",           .,           .,           .,           .,           .,           .,        6972,        6256,       13832,       30977,      153134,      211171,          38,         498,           3,          34,       13832,       14405,           5,         453,          24,        1082,        5993,        7557

1998,"AVILA",           .,           .,           .,           .,           .,           .,         343,         628,         910,        2881,       10688,       15450,           2,          25,           .,           2,         804,         833,           .,          30,           6,          69,         497,         602

1998,"BURGOS",           .,           .,           .,           .,           .,           .,        1153,         724,        2169,        4069,       23156,       31271,           7,          86,           .,           5,        2579,        2677,           2,          42,           2,          99,         626,         771

1998,"LEON",           .,           .,           .,           .,           .,           .,        1331,         720,        2798,        7015,       30734,       42598,           6,          57,           2,           2,        2692,        2759,           2,          78,           5,         337,        1458,        1880

1998,"PALENCIA",           .,           .,           .,           .,           .,           .,         509,         515,         922,        2551,       11148,       15645,           3,          64,           .,           4,        1108,        1179,           1,          51,           1,          95,         357,         505

1998,"SALAMANCA",           .,           .,           .,           .,           .,           .,         994,         535,        2300,        5114,       23140,       32083,           6,          49,           .,           4,        2215,        2274,           .,          86,           4,         221,         938,        1249

1998,"SEGOVIA",           .,           .,           .,           .,           .,           .,         467,        1571,         898,        2533,       10775,       16244,           1,          33,           .,           2,        1041,        1077,           .,          18,           2,          30,         428,         478

1998,"SORIA",           .,           .,           .,           .,           .,           .,         424,         647,         676,        1550,        6280,        9577,           .,          87,           .,           2,         755,         844,           .,          28,           2,          55,         153,         238

1998,"VALLADOLID",           .,           .,           .,           .,           .,           .,        1270,         871,        2155,        4380,       27178,       35854,          15,          87,           1,          16,        2712,        2831,           1,          43,           3,         120,         936,        1103

1998,"ZAMORA",           .,           .,           .,           .,           .,           .,         484,         364,        1177,        2832,       12813,       17670,           .,          55,           .,           2,        1121,        1178,           .,          75,           1,          85,         531,         692

1998,"TOTAL",           .,           .,           .,           .,           .,           .,        6975,        6575,       14005,       32925,      155912,      216392,          40,         543,           3,          39,       15027,       15652,           6,         451,          26,        1111,        5924,        7518

1999,"AVILA",           .,           .,           .,           .,           .,           .,         336,         644,         908,        2920,       10871,       15679,           2,          27,           .,           1,         807,         837,           .,          29,           4,          74,         455,         562

1999,"BURGOS",           .,           .,           .,           .,           .,           .,        1146,         741,        2163,        4277,       23163,       31490,           7,          85,           .,           6,        2614,        2712,           2,          47,           2,          98,         571,         720

1999,"LEON",           .,           .,           .,           .,           .,           .,        1315,         733,        2810,        7350,       31155,       43363,           9,          70,           2,           2,        2747,        2830,           2,          80,           5,         362,        1347,        1796

1999,"PALENCIA",           .,           .,           .,           .,           .,           .,         521,         500,         942,        2567,       11186,       15716,           3,          73,           .,           4,        1150,        1230,           1,          49,           1,         111,         345,         507

